cat1,cat2,old_cat3,new_cat3,samples,merge_type
pet supplies,cats,collars,cats other,3,other (very rare)
pet supplies,bunny rabbit central,food,bunny rabbit central other,3,other (very rare)
pet supplies,bunny rabbit central,rabbit hutches,bunny rabbit central other,3,other (very rare)
pet supplies,bunny rabbit central,carriers,bunny rabbit central other,2,other (very rare)
pet supplies,bunny rabbit central,feeding watering supplies,bunny rabbit central other,1,other (very rare)
pet supplies,bunny rabbit central,treats,bunny rabbit central other,1,other (very rare)
pet supplies,birds,health supplies,birds other,1,other (very rare)
pet supplies,birds,treats,birds other,1,other (very rare)
pet supplies,fish aquatic pets,test kits,pumps filters,5,similar (score: 0.57)
pet supplies,fish aquatic pets,health supplies,fish aquatic pets other,4,other (very rare)
pet supplies,fish aquatic pets,aquarium heaters,fish aquatic pets other,3,other (very rare)
pet supplies,fish aquatic pets,aquarium starter kits,fish aquatic pets other,2,other (very rare)
pet supplies,fish aquatic pets,automatic feeders,fish aquatic pets other,1,other (very rare)
pet supplies,fish aquatic pets,aquarium hoods,fish aquatic pets other,1,other (very rare)
pet supplies,fish aquatic pets,hydrometers,fish aquatic pets other,1,other (very rare)
pet supplies,fish aquatic pets,breeding tanks,fish aquatic pets other,1,other (very rare)
pet supplies,small animals,food,small animals other,6,other (no good match)
pet supplies,small animals,houses habitats,small animals other,1,other (very rare)
pet supplies,small animals,feeding watering supplies,small animals other,1,other (very rare)
pet supplies,small animals,exercise wheels,small animals other,1,other (very rare)
pet supplies,small animals,treats,small animals other,1,other (very rare)
pet supplies,small animals,collars,small animals other,1,other (very rare)
health personal care,health care,therapeutic skin care,foot care,14,similar (score: 0.63)
health personal care,health care,diabetes,alternative medicine,13,similar (score: 0.64)
health personal care,health care,smoking cessation,health care other,8,other (no good match)
health personal care,health care,thermometers,women s health,6,similar (score: 0.63)
health personal care,health care,stimulants,health care other,3,other (very rare)
health personal care,health care,braces,health care other,2,other (very rare)
health personal care,health care,thermometer accessories,health care other,1,other (very rare)
health personal care,health care,highchairs booster seats,health care other,1,other (very rare)
health personal care,health care,licorice,health care other,1,other (very rare)
health personal care,health care,pegged puzzles,health care other,1,other (very rare)
health personal care,health care,trains accessories,health care other,1,other (very rare)
health personal care,health care,shaving hair removal,health care other,1,other (very rare)
health personal care,health care,beds accessories,health care other,1,other (very rare)
health personal care,health care,bedding,health care other,1,other (very rare)
health personal care,health care,craft kits,health care other,1,other (very rare)
health personal care,health care,laundry,health care other,1,other (very rare)
health personal care,health care,vitamins supplements,health care other,1,other (very rare)
health personal care,health care,litter housebreaking,health care other,1,other (very rare)
health personal care,health care,live indoor plants,health care other,1,other (very rare)
health personal care,health care,animals figures,health care other,1,other (very rare)
health personal care,household supplies,dishwashing,household cleaning,13,similar (score: 0.65)
health personal care,household supplies,air fresheners,household cleaning,8,similar (score: 0.65)
health personal care,household supplies,daily living aids,household supplies other,4,other (very rare)
health personal care,household supplies,vitamins supplements,household supplies other,2,other (very rare)
health personal care,household supplies,dolls,household supplies other,2,other (very rare)
health personal care,household supplies,health monitors,household supplies other,1,other (very rare)
health personal care,household supplies,fresh fruits,household supplies other,1,other (very rare)
health personal care,household supplies,styling products,household supplies other,1,other (very rare)
health personal care,household supplies,beanbags foot bags,household supplies other,1,other (very rare)
health personal care,personal care,feminine care,oral hygiene,13,similar (score: 0.62)
health personal care,personal care,foot care,personal care other,9,other (no good match)
health personal care,personal care,ear care,shaving hair removal,8,similar (score: 0.60)
health personal care,personal care,body art,personal care other,2,other (very rare)
health personal care,personal care,vitamins supplements,personal care other,1,other (very rare)
health personal care,personal care,baby gyms playmats,personal care other,1,other (very rare)
health personal care,personal care,mirrors,personal care other,1,other (very rare)
health personal care,personal care,women s,personal care other,1,other (very rare)
health personal care,nutrition wellness,foot care,nutrition wellness other,1,other (very rare)
health personal care,nutrition wellness,men s,nutrition wellness other,1,other (very rare)
health personal care,nutrition wellness,health monitors,nutrition wellness other,1,other (very rare)
health personal care,nutrition wellness,bottle feeding,nutrition wellness other,1,other (very rare)
health personal care,baby child care,personal care,baby child care other,3,other (very rare)
health personal care,baby child care,styling tools,baby child care other,1,other (very rare)
health personal care,baby child care,health monitors,baby child care other,1,other (very rare)
health personal care,medical supplies equipment,occupational physical therapy aids,health monitors,13,similar (score: 0.70)
health personal care,medical supplies equipment,tests,medical supplies equipment other,3,other (very rare)
health personal care,medical supplies equipment,alternative medicine,medical supplies equipment other,2,other (very rare)
health personal care,medical supplies equipment,household batteries,medical supplies equipment other,1,other (very rare)
health personal care,medical supplies equipment,carriers travel products,medical supplies equipment other,1,other (very rare)
health personal care,medical supplies equipment,pools water fun,medical supplies equipment other,1,other (very rare)
health personal care,medical supplies equipment,radio control,medical supplies equipment other,1,other (very rare)
health personal care,medical supplies equipment,drawing painting supplies,medical supplies equipment other,1,other (very rare)
health personal care,sexual wellness,bondage gear accessories,sexual wellness other,5,other (no good match)
health personal care,sexual wellness,novelties,sexual wellness other,2,other (very rare)
health personal care,sexual wellness,body,sexual wellness other,2,other (very rare)
health personal care,sexual wellness,sexual enhancers,sexual wellness other,1,other (very rare)
health personal care,sexual wellness,paper plastic,sexual wellness other,1,other (very rare)
health personal care,sexual wellness,sex furniture,sexual wellness other,1,other (very rare)
health personal care,sexual wellness,sensual delights,sexual wellness other,1,other (very rare)
health personal care,sexual wellness,shaving hair removal,sexual wellness other,1,other (very rare)
grocery gourmet food,snack food,cookies,crackers,7,similar (score: 0.53)
grocery gourmet food,snack food,fruit leather,snack food other,6,other (no good match)
grocery gourmet food,snack food,jerky dried meats,snack food other,4,other (very rare)
grocery gourmet food,snack food,chips crisps,snack food other,4,other (very rare)
grocery gourmet food,snack food,puffed snacks,snack food other,4,other (very rare)
grocery gourmet food,snack food,party mix,snack food other,3,other (very rare)
grocery gourmet food,snack food,salsas,snack food other,2,other (very rare)
grocery gourmet food,snack food,pretzels,snack food other,2,other (very rare)
grocery gourmet food,snack food,pork rinds,snack food other,2,other (very rare)
grocery gourmet food,snack food,chips,snack food other,1,other (very rare)
grocery gourmet food,snack food,dried fruit,snack food other,1,other (very rare)
grocery gourmet food,snack food,food,snack food other,1,other (very rare)
grocery gourmet food,snack food,health supplies,snack food other,1,other (very rare)
grocery gourmet food,snack food,dried fruit raisins,snack food other,1,other (very rare)
grocery gourmet food,snack food,face,snack food other,1,other (very rare)
grocery gourmet food,snack food,figures,snack food other,1,other (very rare)
grocery gourmet food,pantry staples,dried beans,cooking baking supplies,9,similar (score: 0.58)
grocery gourmet food,pantry staples,jams,cooking baking supplies,8,similar (score: 0.59)
grocery gourmet food,pantry staples,pasta noodles,canned jarred food,6,similar (score: 0.65)
grocery gourmet food,pantry staples,packaged meals side dishes,pantry staples other,4,other (very rare)
grocery gourmet food,pantry staples,condiments,pantry staples other,2,other (very rare)
grocery gourmet food,pantry staples,feminine care,pantry staples other,1,other (very rare)
grocery gourmet food,pantry staples,face,pantry staples other,1,other (very rare)
grocery gourmet food,pantry staples,model building kits tools,pantry staples other,1,other (very rare)
grocery gourmet food,pantry staples,oils,pantry staples other,1,other (very rare)
grocery gourmet food,pantry staples,shaving hair removal,pantry staples other,1,other (very rare)
grocery gourmet food,cooking baking supplies,baking mixes,cooking baking supplies other,5,other (no good match)
grocery gourmet food,cooking baking supplies,chocolate,cooking baking supplies other,3,other (very rare)
grocery gourmet food,cooking baking supplies,sugars sweeteners,cooking baking supplies other,3,other (very rare)
grocery gourmet food,cooking baking supplies,nuts seeds,cooking baking supplies other,2,other (very rare)
grocery gourmet food,cooking baking supplies,dessert toppings,cooking baking supplies other,2,other (very rare)
grocery gourmet food,cooking baking supplies,flours meals,cooking baking supplies other,2,other (very rare)
